City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
305,Sisimiut,GL,66.9395,-53.6735,1.03,85,98,3.06,overcast clouds
306,Bhag,PK,29.0415,67.8239,35.1,9,1,1.63,clear sky
307,Aksay,RU,47.26,39.87,18.47,88,20,3.13,few clouds
308,Elko,US,41.0002,-115.5012,26.01,14,1,1.25,clear sky
309,Hit,IQ,33.6416,42.8251,29.06,19,65,4.2,broken clouds
310,Kathmandu,NP,27.7167,85.3167,20.12,100,75,1.03,broken clouds
311,San Patricio,US,28.017,-97.5169,29.99,63,35,7.15,scattered clouds
312,Shebunino,RU,46.4339,141.8603,7.2,73,99,5.5,overcast clouds
313,Tuatapere,NZ,-46.1333,167.6833,9.9,95,100,2.7,overcast clouds
314,Yumen,CN,40.2833,97.2,12.65,14,18,4.54,few clouds
315,Khasan,RU,42.4308,130.6434,11.48,94,94,4.33,overcast clouds
316,Umea,SE,63.8284,20.2597,9.96,81,100,0.51,light rain
317,Magadan,RU,59.5667,150.8,1.86,99,100,2.35,light rain
318,Freeport,US,40.6576,-73.5832,11.25,94,90,0.89,moderate rain
319,Yasnogorsk,RU,54.4803,37.6975,8.65,90,100,5.64,overcast clouds
320,Tairua,NZ,-37.0167,175.85,11.72,85,93,3.35,overcast clouds
321,Los Llanos De Aridane,ES,28.6585,-17.9182,18.86,80,90,7.09,overcast clouds
322,Saint Anthony,US,45.0205,-93.218,18.36,79,75,0.89,broken clouds
323,Lorengau,PG,-2.0226,147.2712,27.67,83,100,4.49,overcast clouds
324,Peterhead,GB,57.5058,-1.7981,9.14,93,8,6.64,clear sky
325,Coquimbo,CL,-29.9533,-71.3436,12.85,94,20,1.46,few clouds
326,El Progreso,HN,15.4,-87.8,29.71,88,75,2.8,broken clouds
327,Ahuimanu,US,21.4447,-157.8378,29.88,58,75,3.6,broken clouds
328,Kozmodemyansk,RU,56.3367,46.5711,6.46,81,100,4.51,light rain
329,Hearst,CA,49.6835,-83.6665,19.14,32,98,4.82,overcast clouds
330,Ilo,PE,-17.6394,-71.3375,17.92,88,100,3.86,overcast clouds
331,Catalina,US,32.5056,-110.9211,36.05,9,0,0.89,clear sky
332,Scottsbluff,US,41.8666,-103.6672,18.13,56,75,1.34,broken clouds
333,Jalu,LY,29.0331,21.5482,28.6,22,0,5.15,clear sky
334,Ponta Delgada,PT,37.7333,-25.6667,16.4,77,20,2.06,few clouds
335,Amapa,BR,1.0,-52.0,22.79,99,41,1.14,scattered clouds
336,Sao Joao Da Barra,BR,-21.6403,-41.0511,23.18,92,51,2.26,broken clouds
337,Aberdeen,GB,57.1437,-2.0981,9.19,95,5,2.57,clear sky
338,Santander De Quilichao,CO,3.0095,-76.4849,28.34,92,94,0.23,overcast clouds
339,Ocampo,MX,21.65,-101.5,19.94,57,84,7.14,broken clouds
340,Mushabani,IN,22.5167,86.45,28.21,87,72,1.63,broken clouds
341,Stephenville,US,32.2207,-98.2023,25.19,76,75,5.14,broken clouds
342,Havre,FR,49.5833,0.3333,14.24,87,0,3.41,clear sky
